Simulation time: 2247.54 ms
CPU time per transition: 0.00128641
Simulation output:
Variable u[1] changes: 246
Variable u[2] changes: 272
Variable u[3] changes: 1081272
Variable u[4] changes: 250
Variable u[5] changes: 243
Variable u[6] changes: 218
Variable u[7] changes: 132
Variable u[8] changes: 86
Variable u[9] changes: 71
Variable u[10] changes: 58
Variable u[11] changes: 48
Variable u[12] changes: 36
Variable u[13] changes: 34
Variable u[14] changes: 25
Variable u[15] changes: 14
Variable u[16] changes: 9
Variable u[17] changes: 3
Variable u[18] changes: 1
Variable u[19] changes: 1
Variable u[20] changes: 1
Variable u[21] changes: 1
Variable u[22] changes: 1
Variable u[23] changes: 1
Variable u[24] changes: 1
Variable u[25] changes: 1
Variable u[26] changes: 1
Variable u[27] changes: 1
Variable u[28] changes: 1
Variable u[29] changes: 1
Variable u[30] changes: 1
Variable u[31] changes: 1
Variable u[32] changes: 1
Variable u[33] changes: 1
Variable u[34] changes: 1
Variable u[35] changes: 1
Variable u[36] changes: 1
Variable u[37] changes: 1
Variable u[38] changes: 1
Variable u[39] changes: 1
Variable u[40] changes: 1
Variable u[41] changes: 1
Variable u[42] changes: 1
Variable u[43] changes: 1
Variable u[44] changes: 1
Variable u[45] changes: 1
Variable u[46] changes: 1
Variable u[47] changes: 1
Variable u[48] changes: 1
Variable u[49] changes: 1
Variable u[50] changes: 1
Variable u[51] changes: 1
Variable u[52] changes: 1
Variable u[53] changes: 1
Variable u[54] changes: 1
Variable u[55] changes: 1
Variable u[56] changes: 1
Variable u[57] changes: 1
Variable u[58] changes: 1
Variable u[59] changes: 1
Variable u[60] changes: 1
Variable u[61] changes: 1
Variable u[62] changes: 1
Variable u[63] changes: 1
Variable u[64] changes: 1
Variable u[65] changes: 1
Variable u[66] changes: 1
Variable u[67] changes: 1
Variable u[68] changes: 1
Variable u[69] changes: 1
Variable u[70] changes: 1
Variable u[71] changes: 1
Variable u[72] changes: 1
Variable u[73] changes: 1
Variable u[74] changes: 1
Variable u[75] changes: 1
Variable u[76] changes: 1
Variable u[77] changes: 1
Variable u[78] changes: 1
Variable u[79] changes: 1
Variable u[80] changes: 1
Variable u[81] changes: 1
Variable u[82] changes: 1
Variable u[83] changes: 1
Variable u[84] changes: 1
Variable u[85] changes: 1
Variable u[86] changes: 1
Variable u[87] changes: 1
Variable u[88] changes: 1
Variable u[89] changes: 1
Variable u[90] changes: 1
Variable u[91] changes: 1
Variable u[92] changes: 1
Variable u[93] changes: 1
Variable u[94] changes: 1
Variable u[95] changes: 1
Variable u[96] changes: 1
Variable u[97] changes: 1
Variable u[98] changes: 1
Variable u[99] changes: 1
Variable u[100] changes: 1
Variable u[101] changes: 1
Variable u[102] changes: 1
Variable u[103] changes: 1
Variable u[104] changes: 1
Variable u[105] changes: 1
Variable u[106] changes: 1
Variable u[107] changes: 1
Variable u[108] changes: 1
Variable u[109] changes: 1
Variable u[110] changes: 1
